类别,股票代码,日期,快线强弱,红柱数量,大陆代码
golden,000721,2019-07-26,down0,3,sz.000721
golden,000723,2019-07-16,down0,11,sz.000723
golden,000726,2019-07-26,down0,3,sz.000726
golden,000733,2019-07-26,down0,3,sz.000733
golden,000738,2019-07-29,up0,2,sz.000738
golden,000739,2019-07-30,down0,1,sz.000739
golden,000752,2019-07-25,down0,4,sz.000752
golden,000755,2019-07-25,down0,4,sz.000755
golden,000757,2019-07-26,down0,3,sz.000757
golden,000759,2019-07-01,down0,22,sz.000759
golden,000760,2019-07-24,down0,5,sz.000760
golden,000768,2019-07-25,up0,4,sz.000768
golden,000777,2019-07-29,down0,2,sz.000777
golden,000791,2019-07-30,down0,1,sz.000791
golden,000793,2019-07-26,down0,3,sz.000793
golden,000796,2019-07-26,down0,3,sz.000796
golden,000801,2019-07-30,down0,1,sz.000801
golden,000806,2019-07-29,down0,2,sz.000806
golden,000810,2019-07-16,down0,11,sz.000810
golden,000813,2019-07-26,down0,3,sz.000813
golden,000815,2019-07-23,down0,6,sz.000815
golden,000819,2019-07-30,down0,1,sz.000819
golden,000820,2019-07-25,down0,4,sz.000820
golden,000821,2019-07-29,down0,2,sz.000821
golden,000829,2019-07-29,down0,2,sz.000829
golden,000830,2019-07-26,down0,3,sz.000830
golden,000836,2019-07-30,down0,1,sz.000836
golden,000837,2019-07-29,down0,2,sz.000837
golden,000839,2019-07-25,down0,4,sz.000839
golden,000848,2019-07-30,down0,1,sz.000848
golden,000851,2019-07-26,down0,3,sz.000851
golden,000863,2019-07-25,down0,4,sz.000863
golden,000878,2019-07-30,up0,1,sz.000878
golden,000881,2019-07-30,down0,1,sz.000881
golden,000885,2019-07-29,down0,2,sz.000885
golden,000887,2019-07-26,down0,3,sz.000887
golden,000890,2019-07-29,down0,2,sz.000890
golden,000892,2019-07-30,down0,1,sz.000892
golden,000897,2019-07-29,down0,2,sz.000897
golden,000902,2019-07-29,up0,2,sz.000902
golden,000909,2019-07-30,down0,1,sz.000909
golden,000911,2019-07-29,up0,2,sz.000911
golden,000920,2019-07-26,down0,3,sz.000920
golden,000928,2019-07-29,down0,2,sz.000928
golden,000933,2019-07-30,down0,1,sz.000933
golden,000937,2019-07-30,down0,1,sz.000937
golden,000949,2019-07-16,down0,11,sz.000949
golden,000950,2019-07-24,down0,5,sz.000950
golden,000953,2019-07-30,down0,1,sz.000953
golden,000955,2019-07-26,down0,3,sz.000955
golden,000959,2019-07-26,down0,3,sz.000959
golden,000960,2019-07-25,down0,4,sz.000960
golden,000961,2019-07-30,down0,1,sz.000961
golden,000970,2019-07-30,down0,1,sz.000970
golden,000973,2019-07-29,down0,2,sz.000973
golden,000980,2019-07-30,down0,1,sz.000980
golden,000990,2019-07-30,down0,1,sz.000990
golden,000993,2019-07-30,down0,1,sz.000993
golden,000997,2019-07-22,down0,7,sz.000997
golden,000998,2019-07-30,down0,1,sz.000998
golden,001696,2019-07-24,down0,5,sz.001696
golden,001896,2019-07-26,down0,3,sz.001896
golden,001965,2019-07-29,up0,2,sz.001965
golden,002001,2019-07-25,up0,4,sz.002001
golden,002003,2019-07-23,down0,6,sz.002003
golden,002005,2019-07-26,down0,3,sz.002005
golden,002013,2019-07-26,down0,3,sz.002013
golden,002017,2019-07-29,down0,2,sz.002017
golden,002020,2019-07-30,up0,1,sz.002020
